timestamp,service,cost,forced_anomaly
2026-05-24 16:45:04,EC2,28.35,False
2026-05-24 16:45:33,CloudFront,14.33,False
2026-05-24 16:45:41,S3,10.37,False
2026-05-24 16:46:03,CloudFront,13.33,False
2026-05-24 16:46:11,CloudFront,14.98,False
2026-05-24 16:46:19,EBS,7.07,False
2026-05-24 16:46:27,EC2,30.6,False
2026-05-24 16:46:35,RDS,19.56,False
2026-05-24 16:46:43,EBS,6.02,False
2026-05-24 16:46:51,S3,10.06,False
2026-05-24 16:46:59,EC2,26.86,False
2026-05-24 16:47:07,EC2,30.46,False
2026-05-24 16:47:15,EC2,25.96,False
2026-05-24 16:47:23,RDS,18.68,False
2026-05-24 16:47:31,RDS,17.01,False
2026-05-24 16:47:39,EC2,29.12,False
2026-05-24 16:47:47,RDS,19.09,False
2026-05-24 16:47:55,RDS,18.23,False
2026-05-24 16:48:03,EC2,25.53,False
2026-05-24 16:48:14,RDS,18.53,False
2026-05-24 16:49:14,EC2,26.3,False
2026-05-24 16:50:14,EC2,23.98,False
2026-05-24 16:51:14,EC2,24.99,False
2026-05-24 16:52:14,EC2,24.91,False
2026-05-24 16:53:14,EC2,25.15,False
2026-05-24 16:54:14,EC2,25.46,False
2026-05-24 16:55:14,S3,9.1,False
2026-05-24 16:56:14,RDS,16.73,False
2026-05-24 16:57:14,CloudFront,12.56,False
2026-05-24 16:58:14,EC2,25.02,False
2026-05-24 16:59:14,EC2,28.2,False
2026-05-24 17:00:14,S3,9.7,False
2026-05-24 17:01:14,CloudFront,13.13,False
2026-05-24 17:01:56,CloudFront,13.86,False
2026-05-24 17:02:03,EC2,28.55,False
2026-05-24 17:02:19,EBS,7.04,False
2026-05-24 17:02:27,CloudFront,12.72,False
2026-05-24 17:02:35,S3,11.52,False
2026-05-24 17:02:50,CloudFront,14.78,False
2026-05-24 17:02:58,CloudFront,14.48,False
2026-05-24 17:03:06,S3,7.74,False
2026-05-24 17:03:14,EC2,29.3,False
2026-05-24 17:03:22,RDS,18.76,False
2026-05-24 17:03:30,EC2,29.18,False
2026-05-24 17:03:38,CloudFront,13.65,False
2026-05-24 17:03:46,S3,10.47,False
2026-05-24 17:03:54,CloudFront,12.12,False
2026-05-24 17:04:14,EC2,28.32,False
2026-05-24 17:05:14,S3,11.12,False
2026-05-24 17:06:14,CloudFront,14.41,False
2026-05-24 17:07:14,EC2,28.76,False
2026-05-24 17:08:14,RDS,17.42,False
2026-05-24 17:09:14,EBS,6.95,False
2026-05-24 17:10:14,CloudFront,12.16,False
2026-05-24 17:11:14,EC2,28.03,False
2026-05-24 17:12:14,CloudFront,14.11,False
2026-05-24 17:12:35,EC2,26.82,False
2026-05-24 17:12:44,EC2,30.31,False
2026-05-24 17:12:52,EBS,6.29,False
2026-05-24 17:13:17,Lambda,8.69,False
2026-05-24 17:13:25,RDS,18.14,False
2026-05-24 17:13:33,RDS,17.83,False
2026-05-24 17:13:46,EC2,27.04,False
2026-05-24 17:14:27,EC2,96.69,True
2026-05-24 17:14:29,S3,10.57,False
2026-05-24 17:14:37,RDS,17.89,False
2026-05-24 17:14:59,S3,9.98,False
2026-05-24 17:31:06,Lambda,8.05,False
2026-05-24 17:31:14,EC2,28.36,False
2026-05-24 17:31:22,EBS,6.87,False
2026-05-24 17:31:30,EC2,25.96,False
2026-05-24 17:31:38,EC2,24.54,False
2026-05-24 17:31:46,RDS,16.84,False
2026-05-24 17:31:54,EC2,29.05,False
2026-05-24 17:32:02,EC2,28.36,False
2026-05-24 17:32:10,RDS,17.03,False
2026-05-24 17:32:18,S3,11.38,False
2026-05-24 17:32:26,RDS,19.06,False
2026-05-24 17:32:34,RDS,55.88,False
2026-05-24 17:32:42,S3,8.89,False
2026-05-24 17:32:50,EC2,26.77,False
2026-05-24 17:32:58,RDS,16.31,False
2026-05-24 17:33:06,S3,9.7,False
2026-05-24 17:33:14,CloudFront,12.92,False
2026-05-24 17:33:22,EC2,26.13,False
2026-05-24 17:33:30,Lambda,8.28,False
2026-05-24 17:33:38,S3,9.11,False
2026-05-24 17:33:46,S3,9.48,False
2026-05-24 17:33:54,RDS,15.97,False
2026-05-24 17:34:02,EC2,25.82,False
2026-05-24 17:34:10,Lambda,6.8,False
2026-05-24 17:34:18,EC2,26.94,False
2026-05-24 17:34:26,CloudFront,12.96,False
2026-05-24 17:34:34,Lambda,7.26,False
2026-05-24 17:34:42,EBS,6.48,False
2026-05-24 17:34:50,CloudFront,13.34,False
2026-05-24 17:34:58,EC2,25.15,False
2026-05-24 17:35:06,EC2,26.85,False
2026-05-24 17:35:14,S3,10.1,False
2026-05-24 17:35:22,S3,9.37,False
2026-05-24 17:35:30,EC2,26.75,False
2026-05-24 17:35:38,Lambda,7.96,False
2026-05-24 17:35:46,S3,9.77,False
2026-05-24 17:35:54,RDS,15.64,False
2026-05-24 17:36:26,CloudFront,14.36,False
2026-05-24 18:09:05,S3,10.93,False
2026-05-24 18:09:13,EC2,29.27,False
2026-05-24 18:09:21,EC2,28.73,False
2026-05-24 18:09:29,S3,10.32,False
2026-05-24 18:09:37,CloudFront,14.86,False
2026-05-24 18:09:45,S3,9.53,False
2026-05-24 18:10:54,EC2,23.29,False
2026-05-24 18:11:02,Lambda,7.88,False
2026-05-24 18:11:11,Lambda,8.69,False
2026-05-24 18:11:19,RDS,17.23,False
2026-05-24 18:11:27,RDS,19.85,False
2026-05-24 18:11:35,S3,10.6,False
2026-05-24 18:11:43,S3,11.01,False
2026-05-24 18:11:51,CloudFront,13.98,False
2026-05-24 18:11:59,Lambda,7.23,False
2026-05-24 18:12:14,S3,10.8,False
2026-05-24 18:13:14,Lambda,6.68,False
2026-05-24 18:14:14,Lambda,7.74,False
2026-05-24 18:15:14,EC2,25.74,False
2026-05-24 18:16:14,EC2,29.02,False
2026-05-24 18:40:53,S3,10.71,False
2026-05-24 18:40:54,CloudFront,12.51,False
2026-05-24 18:41:07,S3,8.93,False
2026-05-24 18:41:15,S3,9.62,False
2026-05-24 18:41:48,EC2,27.14,False
2026-05-24 18:41:57,Lambda,9.14,False
2026-05-24 18:42:05,S3,11.93,False
2026-05-24 18:42:13,EC2,29.51,False
2026-05-24 18:42:21,EC2,27.96,False
2026-05-24 18:42:29,EC2,27.17,False
2026-05-24 18:42:37,EC2,28.27,False
2026-05-24 18:42:45,EC2,27.75,False
2026-05-24 18:42:53,S3,9.67,False
2026-05-28 14:43:09,S3,56.42,True
2026-05-28 14:43:13,RDS,20.54,False
2026-05-28 14:43:21,EC2,37.3,False
2026-05-28 14:43:29,RDS,23.2,False
2026-05-28 14:43:37,EC2,37.62,False
2026-05-28 14:47:27,S3,13.85,False
2026-05-28 15:00:34,S3,57.0,True
2026-05-28 15:00:37,EC2,33.91,False
2026-05-28 15:00:45,RDS,23.21,False
2026-05-28 15:00:53,CloudFront,18.05,False
2026-05-28 15:01:01,EC2,33.45,False
2026-05-28 15:01:09,RDS,19.48,False
2026-05-28 15:01:17,S3,13.82,False
2026-05-28 15:01:25,CloudFront,16.09,False
2026-05-28 15:01:33,EC2,42.74,False
2026-05-28 15:01:41,EC2,34.33,False
2026-05-28 15:01:49,S3,12.08,False
